Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Acerto,0.6667
4,4,Erro,0.5
5,5,Acerto,0.6
6,6,Erro,0.5
7,7,Acerto,0.5714
8,8,Erro,0.5
9,9,Erro,0.4444
10,10,Erro,0.4
11,11,Acerto,0.4545
12,12,Erro,0.4167
13,13,Erro,0.3846
14,14,Acerto,0.4286
15,15,Acerto,0.4667
16,16,Acerto,0.5
17,17,Erro,0.4706
18,18,Acerto,0.5
19,19,Acerto,0.5263
20,20,Acerto,0.55
21,21,Erro,0.5238
22,22,Acerto,0.5455
23,23,Acerto,0.5652
24,24,Acerto,0.5833
25,25,Acerto,0.6
26,26,Erro,0.5769
27,27,Erro,0.5556
28,28,Erro,0.5357
29,29,Acerto,0.5517
30,30,Acerto,0.5667
31,31,Erro,0.5484
32,32,Acerto,0.5625
33,33,Acerto,0.5758
34,34,Acerto,0.5882
35,35,Acerto,0.6
36,36,Acerto,0.6111
37,37,Acerto,0.6216
38,38,Acerto,0.6316
39,39,Acerto,0.641
40,40,Erro,0.625
41,41,Erro,0.6098
42,42,Erro,0.5952
43,43,Acerto,0.6047
44,44,Acerto,0.6136
45,45,Erro,0.6
46,46,Erro,0.587
47,47,Acerto,0.5957
48,48,Acerto,0.6042
49,49,Erro,0.5918
50,50,Acerto,0.6
51,51,Erro,0.5882
52,52,Acerto,0.5962
53,53,Acerto,0.6038
54,54,Acerto,0.6111
55,55,Acerto,0.6182
56,56,Acerto,0.625
57,57,Acerto,0.6316
58,58,Erro,0.6207
59,59,Acerto,0.6271
60,60,Erro,0.6167
61,61,Erro,0.6066
62,62,Acerto,0.6129
63,63,Acerto,0.619
64,64,Erro,0.6094
65,65,Erro,0.6
66,66,Erro,0.5909
67,67,Erro,0.5821
68,68,Acerto,0.5882
69,69,Acerto,0.5942
70,70,Erro,0.5857
71,71,Erro,0.5775
72,72,Acerto,0.5833
73,73,Erro,0.5753
74,74,Acerto,0.5811
75,75,Erro,0.5733
76,76,Erro,0.5658
77,77,Acerto,0.5714
78,78,Acerto,0.5769
79,79,Acerto,0.5823
80,80,Erro,0.575
81,81,Acerto,0.5802
82,82,Acerto,0.5854
83,83,Erro,0.5783
84,84,Acerto,0.5833
85,85,Erro,0.5765
86,86,Acerto,0.5814
87,87,Erro,0.5747
88,88,Acerto,0.5795
89,89,Acerto,0.5843
90,90,Erro,0.5778
91,91,Acerto,0.5824
92,92,Erro,0.5761
93,93,Erro,0.5699
94,94,Erro,0.5638
95,95,Erro,0.5579
96,96,Erro,0.5521
97,97,Acerto,0.5567
98,98,Erro,0.551
99,99,Acerto,0.5556
100,100,Acerto,0.56
101,101,Acerto,0.5644
102,102,Acerto,0.5686
103,103,Acerto,0.5728
104,104,Acerto,0.5769
105,105,Acerto,0.581
106,106,Erro,0.5755
107,107,Erro,0.5701
108,108,Acerto,0.5741
109,109,Acerto,0.578
110,110,Acerto,0.5818
111,111,Erro,0.5766
112,112,Erro,0.5714
113,113,Acerto,0.5752
114,114,Acerto,0.5789
115,115,Acerto,0.5826
116,116,Acerto,0.5862
117,117,Acerto,0.5897
118,118,Erro,0.5847
119,119,Acerto,0.5882
120,120,Acerto,0.5917
121,121,Acerto,0.595
122,122,Acerto,0.5984
123,123,Erro,0.5935
124,124,Acerto,0.5968
125,125,Acerto,0.6
126,126,Erro,0.5952
127,127,Acerto,0.5984
128,128,Erro,0.5938
129,129,Erro,0.5891
130,130,Acerto,0.5923
131,131,Erro,0.5878
132,132,Erro,0.5833
133,133,Erro,0.5789
134,134,Acerto,0.5821
135,135,Erro,0.5778
136,136,Erro,0.5735
137,137,Acerto,0.5766
138,138,Acerto,0.5797
139,139,Erro,0.5755
140,140,Erro,0.5714
141,141,Erro,0.5674
142,142,Acerto,0.5704
143,143,Acerto,0.5734
144,144,Erro,0.5694
145,145,Acerto,0.5724
146,146,Acerto,0.5753
147,147,Acerto,0.5782
148,148,Erro,0.5743
149,149,Acerto,0.5772
150,150,Acerto,0.58
151,151,Acerto,0.5828
152,152,Erro,0.5789
153,153,Erro,0.5752
154,154,Erro,0.5714
155,155,Acerto,0.5742
156,156,Erro,0.5705
157,157,Acerto,0.5732
158,158,Acerto,0.5759
159,159,Erro,0.5723
160,160,Erro,0.5687
161,161,Erro,0.5652
162,162,Erro,0.5617
163,163,Acerto,0.5644
164,164,Erro,0.561
165,165,Acerto,0.5636
166,166,Acerto,0.5663
167,167,Acerto,0.5689
168,168,Acerto,0.5714
169,169,Acerto,0.574
170,170,Erro,0.5706
171,171,Acerto,0.5731
172,172,Acerto,0.5756
173,173,Erro,0.5723
174,174,Acerto,0.5747
175,175,Acerto,0.5771
176,176,Erro,0.5739
177,177,Acerto,0.5763
178,178,Erro,0.573
179,179,Erro,0.5698
180,180,Acerto,0.5722
181,181,Acerto,0.5746
182,182,Acerto,0.5769
183,183,Acerto,0.5792
184,184,Acerto,0.5815
185,185,Acerto,0.5838
186,186,Acerto,0.586
187,187,Erro,0.5829
188,188,Acerto,0.5851
189,189,Acerto,0.5873
190,190,Erro,0.5842
191,191,Acerto,0.5864
192,192,Acerto,0.5885
